OTUs	"BKCM01"	"BKCM02"	"BKCM03"	"BKCM04"	"BKCM05"	"BKCM06"	"BKCM07"	"BKCM13"	"BKCM14"	"BKCM15"	"BKCM16"	"BKCM21"	"BKCM22"	"BKCM24"	"BKCM25"	"BKCM27"	"BKCM28"	"BKCM29"	"BKCM31"	"BKCM32"
"OTU_1"	300	203	308	165	0	0	0	89	158	119	29	227	775	604	483	532	924	687	845	240
"OTU_2"	22	0	0	24	135	34	52	396	1170	365	1177	0	9	14	696	548	750	429	344	125
"OTU_3"	96	59	74	34	187	189	75	129	388	220	688	140	382	376	167	135	296	78	101	40
"OTU_4"	97	60	77	35	149	177	60	106	389	268	687	134	403	392	179	137	250	79	106	27
"OTU_5"	165	145	84	60	467	386	122	264	510	329	309	164	196	324	0	0	11	0	0	0
"OTU_6"	409	480	400	180	0	0	0	15	294	448	697	0	0	118	0	0	0	31	0	0
"OTU_7"	37	61	61	50	235	264	115	183	302	190	251	76	234	187	95	91	184	72	162	53
"OTU_8"	349	211	392	45	254	130	33	0	0	0	0	204	587	649	0	20	25	0	0	0
"OTU_9"	0	0	0	0	0	0	0	263	722	152	575	0	0	0	75	223	142	88	417	42
"OTU_10"	0	0	0	0	118	63	35	98	253	212	344	44	84	51	293	93	314	265	316	61
"OTU_11"	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1324	1011	238
"OTU_12"	0	0	0	0	109	64	32	98	201	174	373	34	101	64	271	72	302	277	279	54
"OTU_13"	96	54	111	63	0	0	0	37	61	42	0	91	293	224	198	185	294	227	266	91
"OTU_14"	375	97	131	0	243	66	204	58	98	161	28	291	296	206	0	0	0	0	19	0
"OTU_15"	0	0	0	0	115	53	24	71	194	172	292	31	105	44	205	58	262	246	232	34
"OTU_16"	142	105	156	94	0	0	0	0	0	0	28	60	318	248	73	99	29	263	326	99
"OTU_17"	168	66	137	83	0	12	8	0	19	12	34	51	268	212	64	72	25	225	359	96
"OTU_18"	94	151	146	91	39	32	0	60	233	195	326	0	0	32	133	14	141	61	76	51
"OTU_19"	160	94	111	81	0	0	0	0	42	0	25	52	250	188	67	73	19	224	369	92
"OTU_20"	293	334	303	118	25	0	35	85	155	101	162	27	97	63	0	13	0	0	0	0
"OTU_21"	10	18	0	28	6	22	14	69	216	128	404	16	107	151	135	57	231	56	68	12
"OTU_22"	35	44	0	0	176	144	79	113	184	106	150	39	164	134	58	50	108	43	81	0
"OTU_23"	150	85	138	92	0	0	0	0	0	0	0	57	247	166	74	61	0	250	288	90
"OTU_24"	273	318	263	126	0	30	0	67	136	97	163	35	78	48	0	0	0	0	0	0
"OTU_25"	27	30	0	0	165	167	72	105	152	106	173	40	125	106	67	53	121	47	71	0
"OTU_26"	0	0	0	0	0	0	0	114	367	181	329	0	0	45	45	32	70	197	188	46
"OTU_27"	77	170	0	224	0	23	0	0	122	0	0	127	331	508	0	0	0	0	0	0
"OTU_28"	61	70	85	14	0	105	0	53	179	171	276	0	0	0	59	83	115	81	156	44
"OTU_29"	72	125	89	85	57	19	15	52	11	0	0	77	61	42	408	271	17	72	43	28
"OTU_30"	38	54	45	122	67	59	14	14	108	62	162	16	49	80	0	0	0	178	334	108
"OTU_31"	48	11	38	36	56	0	15	0	84	48	58	0	127	61	277	284	317	6	4	5
"OTU_32"	0	0	0	0	0	0	0	93	218	125	262	0	53	0	142	65	271	61	111	21
"OTU_33"	0	0	0	0	0	0	0	94	101	89	253	0	0	0	150	198	315	106	46	68
"OTU_34"	41	18	0	11	19	0	0	91	76	157	45	153	359	387	0	0	0	0	0	0
"OTU_35"	0	0	0	0	0	0	0	22	92	27	103	37	137	102	159	84	161	64	133	50
"OTU_36"	66	49	104	20	56	136	19	25	56	146	14	24	162	107	7	18	0	28	101	32
"OTU_37"	83	30	0	0	127	167	70	143	14	74	5	20	149	216	0	42	0	0	0	0
"OTU_38"	61	38	62	35	43	40	34	29	66	27	69	58	69	134	35	81	61	51	115	26
"OTU_39"	32	65	59	30	106	71	34	46	57	56	61	25	119	72	85	38	112	0	38	16
"OTU_40"	51	83	58	39	104	170	36	20	47	43	63	33	85	77	42	45	0	0	115	0
"OTU_41"	0	0	0	0	0	0	0	70	0	0	0	0	0	0	133	106	204	297	192	75
