OTUs	"BKF01"	"BKF02"	"BKF03"	"BKF04"	"BKF05"	"BKF06"	"BKF07"	"BKF13"	"BKF14"	"BKF15"	"BKF16"	"BKF21"	"BKF22"	"BKF24"	"BKF25"	"BKF27"	"BKF28"	"BKF29"	"BKF31"	"BKF32"
"OTU_1"	411	406	469	262	153	66	231	299	232	534	159	1220	259	263	370	545	329	387	288	211
"OTU_2"	470	394	172	772	622	596	473	169	76	351	63	351	66	261	0	0	0	0	0	0
"OTU_3"	313	388	322	375	0	0	0	245	148	249	127	331	94	124	101	209	64	110	84	68
"OTU_4"	0	0	0	0	0	0	0	384	266	471	293	654	107	103	220	356	166	60	30	42
"OTU_5"	0	0	0	0	0	0	0	346	268	460	287	647	117	107	209	358	116	59	36	35
"OTU_6"	0	0	0	0	148	101	153	207	143	277	99	768	143	198	171	205	85	118	98	39
"OTU_7"	0	0	0	0	141	109	125	210	123	211	101	686	117	172	170	184	66	96	83	38
"OTU_8"	0	0	0	0	52	23	18	417	64	463	172	0	0	17	373	317	112	322	114	49
"OTU_9"	151	160	170	90	52	22	64	111	62	170	42	437	86	78	140	219	129	125	96	75
"OTU_10"	0	0	0	0	118	79	109	185	82	218	78	633	100	168	129	126	63	64	64	41
"OTU_11"	175	307	200	193	153	49	55	0	0	0	0	339	128	157	0	0	0	198	139	129
"OTU_12"	197	297	191	185	159	34	52	0	0	0	0	314	109	169	0	0	0	213	134	122
"OTU_13"	165	97	60	107	288	92	401	195	163	226	96	126	39	62	0	0	0	0	0	0
"OTU_14"	167	275	202	206	158	34	67	0	0	0	0	338	100	144	0	0	0	174	134	117
"OTU_15"	161	261	164	168	141	0	47	0	0	0	0	354	114	164	0	0	0	187	123	124
"OTU_16"	225	210	180	206	0	0	0	120	80	153	69	180	51	71	55	117	29	45	35	40
"OTU_17"	199	217	160	224	0	0	0	118	83	126	78	185	53	73	52	115	36	59	33	28
"OTU_18"	69	165	106	162	0	0	0	166	122	254	98	0	0	0	141	166	94	39	25	17
"OTU_19"	62	97	71	72	90	48	112	10	2	13	2	485	185	188	8	0	1	0	23	2
"OTU_20"	34	36	0	43	0	28	46	165	114	273	59	163	52	49	113	24	59	75	41	56
"OTU_21"	310	178	110	134	190	26	62	0	0	0	0	219	123	72	0	0	0	0	0	0
"OTU_22"	105	122	72	81	120	88	182	0	0	0	0	209	57	42	0	0	0	38	37	0
"OTU_23"	90	128	81	83	123	93	182	0	0	0	0	201	45	49	0	0	0	29	0	37
"OTU_24"	103	23	40	205	33	89	111	63	14	55	13	112	32	115	29	10	7	35	15	0
"OTU_25"	56	40	38	70	48	18	78	27	17	51	11	259	21	97	74	72	35	0	0	4
"OTU_26"	0	0	0	0	0	0	0	125	64	238	56	0	0	0	143	129	60	56	54	27
"OTU_27"	98	43	55	0	216	0	118	63	0	150	64	30	32	15	0	0	0	0	0	0
"OTU_28"	83	191	11	22	2	5	17	61	33	31	11	229	9	4	13	40	6	4	0	0
"OTU_29"	0	0	7	15	15	24	43	0	39	521	48	45	6	0	0	0	0	0	0	0
"OTU_30"	0	0	0	0	0	0	0	102	49	111	34	0	0	0	59	51	24	202	67	40
"OTU_31"	23	3	0	91	72	29	27	43	11	190	44	23	6	6	72	25	7	18	20	0
"OTU_32"	0	0	0	0	0	0	0	120	40	236	48	0	0	0	59	63	33	52	28	10
"OTU_33"	85	68	0	328	0	0	0	0	5	24	0	167	0	0	0	0	0	0	0	0
"OTU_34"	70	46	0	100	53	95	74	17	0	33	21	50	40	67	0	0	0	9	0	0
"OTU_35"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	149	74	110	77	93
"OTU_36"	157	0	0	37	29	59	115	35	10	25	12	179	0	0	0	0	0	0	0	0
"OTU_37"	77	69	15	104	120	50	42	0	0	0	0	43	47	54	27	0	0	0	0	0
"OTU_38"	157	83	94	74	67	10	114	0	0	0	3	30	15	0	0	0	0	0	0	0
"OTU_39"	59	47	54	70	41	0	79	0	0	0	0	74	13	0	62	54	41	19	12	0
"OTU_40"	39	35	27	33	82	37	111	52	44	76	29	0	0	0	0	0	0	0	0	0
"OTU_41"	0	0	0	0	0	0	0	60	12	211	51	0	0	0	77	25	7	62	47	4
"OTU_42"	0	35	0	0	0	237	136	0	0	0	0	60	52	34	0	0	0	0	0	0
"OTU_43"	71	82	84	81	14	0	0	45	29	66	24	40	0	0	0	0	0	0	0	0
"OTU_44"	31	43	30	44	35	39	64	0	0	0	0	66	22	49	0	0	0	46	17	21
"OTU_45"	0	0	0	0	0	0	0	94	0	0	0	0	0	0	72	69	0	185	58	28
"OTU_46"	108	47	30	14	58	9	23	0	0	0	0	65	119	28	0	0	0	0	0	0
"OTU_47"	51	74	23	28	26	0	51	27	13	53	0	44	0	18	0	35	0	43	14	0
"OTU_48"	0	0	15	78	0	21	12	0	27	199	58	0	0	15	29	29	17	0	0	0
"OTU_49"	36	34	25	19	36	0	50	24	10	120	7	79	24	33	0	0	0	0	0	0
"OTU_50"	0	0	0	0	0	0	0	49	70	80	100	0	0	0	21	95	43	13	15	8
"OTU_51"	39	47	15	32	0	0	0	56	0	88	12	67	10	90	0	0	0	0	0	0
"OTU_52"	17	0	28	36	72	25	23	0	0	0	10	45	23	27	34	29	0	85	0	0
"OTU_53"	87	17	0	149	0	0	0	68	0	16	13	0	0	0	21	0	14	43	25	0
"OTU_54"	55	67	54	44	55	55	91	0	0	0	0	18	8	0	0	0	0	0	0	0
"OTU_55"	48	173	0	0	79	19	40	0	0	0	0	21	47	10	0	0	0	0	0	0
"OTU_56"	0	0	0	0	0	0	0	35	47	60	0	0	0	0	90	50	48	32	74	0
"OTU_57"	8	2	8	28	35	12	0	86	5	19	0	11	0	6	137	55	12	9	0	0
"OTU_58"	0	0	0	0	0	0	0	101	58	117	39	0	0	0	47	0	27	0	0	40
"OTU_59"	57	53	30	45	78	0	0	0	0	0	0	89	33	33	0	0	0	0	0	0
"OTU_60"	0	29	19	31	0	0	0	0	31	298	0	0	0	0	0	0	0	0	0	0
"OTU_61"	75	38	0	208	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0
"OTU_62"	34	30	0	21	137	34	54	0	0	0	0	74	0	19	0	0	0	0	0	0
"OTU_63"	0	0	0	0	0	0	0	80	56	125	41	0	0	0	42	0	0	25	0	29
"OTU_64"	0	0	0	0	14	0	0	0	0	0	0	159	17	202	0	0	0	0	0	0
"OTU_65"	0	0	0	0	0	0	0	123	93	122	43	0	0	0	0	0	0	0	0	0
"OTU_66"	27	0	13	55	26	27	35	63	0	36	24	21	0	0	0	21	0	18	0	0
"OTU_67"	67	26	71	35	20	19	28	0	0	0	0	53	23	15	0	0	0	0	0	0
"OTU_68"	31	0	32	19	2	0	12	0	37	20	13	3	0	0	2	4	0	45	110	16
"OTU_69"	0	0	0	0	0	47	22	0	0	0	0	142	0	130	0	0	0	0	0	0
"OTU_70"	0	0	0	0	0	0	116	0	0	0	0	16	0	0	14	120	75	0	0	0
"OTU_71"	9	10	11	0	0	0	0	22	8	72	13	0	0	0	75	29	7	53	31	0
"OTU_72"	27	16	16	62	16	18	19	0	0	21	0	24	20	24	20	22	0	31	0	0
"OTU_73"	15	0	6	0	38	21	57	40	28	56	27	14	10	20	0	0	0	0	0	0
"OTU_74"	29	25	40	27	6	4	14	0	0	0	0	26	14	8	40	35	26	12	9	10
"OTU_75"	0	32	7	48	26	16	0	0	0	29	0	58	49	46	14	0	0	0	0	0
"OTU_76"	0	0	0	0	0	0	0	0	87	130	102	0	0	0	0	0	0	0	0	0
"OTU_77"	0	0	18	122	0	0	0	51	34	47	27	0	17	0	0	0	0	0	0	0
"OTU_78"	0	0	0	206	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
"OTU_79"	0	0	0	0	0	46	18	73	0	10	17	0	0	0	0	0	0	94	30	17
"OTU_80"	16	23	8	10	3	11	6	24	12	13	17	24	0	4	29	27	13	26	19	10
"OTU_81"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	71	89
"OTU_82"	0	109	50	63	0	19	39	0	0	0	0	0	4	0	0	0	0	0	0	0
"OTU_83"	21	44	39	28	35	30	66	0	0	0	0	7	0	10	0	0	0	0	0	0
"OTU_84"	5	6	10	6	55	0	73	27	33	23	22	6	5	7	0	0	0	0	0	0
"OTU_85"	55	38	35	55	0	0	0	0	0	0	0	12	0	3	26	22	13	11	3	4
"OTU_86"	0	0	0	0	0	0	0	31	0	59	15	0	0	0	69	37	36	0	0	30
"OTU_87"	0	0	0	0	155	0	0	56	9	55	0	0	0	0	0	0	0	0	0	0
"OTU_88"	24	15	4	40	27	8	7	5	13	19	0	20	7	0	20	18	6	21	11	0
"OTU_89"	39	46	34	23	38	27	48	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_90"	29	0	0	0	84	26	50	0	0	0	0	47	19	0	0	0	0	0	0	0
"OTU_91"	0	0	0	0	0	0	0	0	0	0	0	136	60	56	0	0	0	0	0	0
"OTU_92"	19	51	22	40	14	0	9	0	0	0	0	19	11	10	0	0	0	15	17	15
"OTU_93"	27	27	0	0	0	0	0	0	0	0	0	69	82	35	0	0	0	0	0	0
"OTU_94"	0	12	0	19	0	0	0	0	30	16	8	20	0	0	0	26	0	76	9	20
"OTU_95"	0	0	0	27	26	25	25	24	0	79	0	0	0	0	15	0	0	14	0	0
"OTU_96"	0	0	0	0	0	0	0	51	31	61	19	0	0	0	33	35	0	0	0	0
"OTU_97"	0	0	0	5	0	0	0	0	0	0	0	0	0	0	92	59	10	25	34	0
"OTU_98"	0	19	0	62	82	31	18	0	0	0	0	5	0	5	0	0	0	0	0	0
"OTU_99"	30	22	12	38	18	16	28	10	0	0	0	24	14	9	0	0	0	0	0	0
"OTU_100"	20	10	15	0	0	0	107	0	0	0	0	43	22	0	0	0	0	0	0	0
"OTU_101"	0	0	0	0	0	48	14	63	0	0	26	0	0	0	0	0	0	38	13	13
"OTU_102"	49	43	18	8	10	36	14	0	0	0	0	25	0	10	0	0	0	0	0	0
"OTU_103"	0	0	0	0	0	0	0	46	60	59	48	0	0	0	0	0	0	0	0	0
"OTU_104"	0	5	0	19	26	0	8	18	5	30	20	4	0	20	14	43	0	0	0	0
"OTU_105"	0	0	0	126	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0
"OTU_106"	179	14	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
"OTU_107"	0	0	0	0	0	0	0	0	11	52	16	0	0	0	56	50	7	12	0	0
"OTU_108"	0	0	20	0	58	30	29	0	0	0	0	27	11	27	0	0	0	0	0	0
"OTU_109"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	39	40
"OTU_110"	0	0	0	30	0	0	0	0	0	0	0	0	0	0	57	33	33	16	21	0
"OTU_111"	0	0	0	0	0	6	0	9	8	22	8	10	0	13	37	29	7	33	0	8
"OTU_112"	9	0	14	34	22	20	8	17	0	27	8	0	0	9	0	0	0	14	4	0
"OTU_113"	0	0	0	0	0	0	0	19	0	84	8	0	0	33	23	0	0	17	0	0
"OTU_114"	10	17	29	10	62	4	19	0	0	0	0	10	0	0	8	14	0	0	0	0
"OTU_115"	0	0	0	0	0	0	0	45	32	59	45	0	0	0	0	0	0	0	0	0
"OTU_116"	0	0	0	0	0	0	0	14	26	58	27	0	0	0	0	21	19	0	0	16
"OTU_117"	56	15	19	33	13	0	11	6	5	5	3	0	6	0	0	0	0	0	0	0
"OTU_118"	0	30	26	22	28	23	43	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_119"	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0
"OTU_120"	0	0	0	0	0	0	0	32	0	34	45	0	15	0	16	26	0	0	0	0
"OTU_121"	34	29	12	0	10	10	14	0	0	0	0	33	10	12	0	0	0	0	0	0
"OTU_122"	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_123"	50	37	32	0	7	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_124"	0	14	0	85	16	10	0	0	0	0	0	12	8	0	0	0	0	5	5	0
"OTU_125"	0	12	13	102	12	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_126"	0	0	75	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_127"	0	0	0	0	0	0	0	62	0	76	11	0	0	0	0	0	0	0	0	0
"OTU_128"	12	0	7	22	17	6	16	0	0	0	14	32	12	9	0	0	0	0	0	0
"OTU_129"	0	0	0	22	0	13	0	15	0	19	0	35	7	9	21	5	0	0	0	0
"OTU_130"	26	31	19	26	18	0	7	0	0	0	0	18	0	0	0	0	0	0	0	0
"OTU_131"	0	0	0	0	0	0	0	61	0	0	83	0	0	0	0	0	0	0	0	0
"OTU_132"	0	0	0	0	0	0	0	0	0	0	0	19	7	0	42	46	25	0	0	0
"OTU_133"	0	0	0	0	0	0	0	0	0	63	0	0	0	0	16	0	0	0	57	0
"OTU_134"	21	35	19	0	17	0	0	0	0	0	0	14	0	14	0	0	0	0	10	0
